date,year,month,day,station,station_lat,station_lon,water_level_m,danger_level_m,warning_level_m,discharge_cumecs,flood_status,embankment_alert,rainfall_24h_mm,source
2022-05-01,2022,5,1,Guwahati Gauge Station,26.1844,91.7458,2.77,5.1,4.5,54,Normal,False,0,CWC Brahmaputra gauge — synthetic daily record
2022-05-02,2022,5,2,Guwahati Gauge Station,26.1844,91.7458,2.62,5.1,4.5,45,Normal,False,6.0,CWC Brahmaputra gauge — synthetic daily record
2022-05-03,2022,5,3,Guwahati Gauge Station,26.1844,91.7458,2.65,5.1,4.5,43,Normal,False,24.7,CWC Brahmaputra gauge — synthetic daily record
2022-05-04,2022,5,4,Guwahati Gauge Station,26.1844,91.7458,2.57,5.1,4.5,46,Normal,False,0,CWC Brahmaputra gauge — synthetic daily record
2022-05-05,2022,5,5,Guwahati Gauge Station,26.1844,91.7458,2.65,5.1,4.5,43,Normal,False,28.6,CWC Brahmaputra gauge — synthetic daily record
2022-05-06,2022,5,6,Guwahati Gauge Station,26.1844,91.7458,2.64,5.1,4.5,46,Normal,False,35.8,CWC Brahmaputra gauge — synthetic daily record
2022-05-07,2022,5,7,Guwahati Gauge Station,26.1844,91.7458,2.67,5.1,4.5,49,Normal,False,12.5,CWC Brahmaputra gauge — synthetic daily record
2022-05-08,2022,5,8,Guwahati Gauge Station,26.1844,91.7458,2.66,5.1,4.5,46,Normal,False,2.8,CWC Brahmaputra gauge — synthetic daily record
2022-05-09,2022,5,9,Guwahati Gauge Station,26.1844,91.7458,2.7,5.1,4.5,52,Normal,False,10.1,CWC Brahmaputra gauge — synthetic daily record
2022-05-10,2022,5,10,Guwahati Gauge Station,26.1844,91.7458,2.84,5.1,4.5,57,Normal,False,20.7,CWC Brahmaputra gauge — synthetic daily record
2022-05-11,2022,5,11,Guwahati Gauge Station,26.1844,91.7458,3.01,5.1,4.5,58,Normal,False,49.8,CWC Brahmaputra gauge — synthetic daily record
2022-05-12,2022,5,12,Guwahati Gauge Station,26.1844,91.7458,3.01,5.1,4.5,54,Normal,False,34.3,CWC Brahmaputra gauge — synthetic daily record
