event_id,year,month,day,start_date,duration_days,wave_number,severity,cause,epicentre_lat,epicentre_lon,brahmaputra_gauge_m,danger_level_m,affected_blocks,n_blocks_affected,population_affected,houses_damaged,houses_fully_damaged,crop_area_damaged_ha,crop_loss_lakh_inr,embankments_breached,relief_camps,people_in_camps,sdrf_released_lakh_inr,flood_inundation_area_sqkm,max_inundation_depth_m,fatalities,livestock_lost,roads_damaged_km,primary_data_source,verification_status
KR_FL_2010_001,2010,6,1,2010-06-01,12,1,Low,Brahmaputra overflow,26.03144,90.5786,3.74,5.1,Nagarbera,1,1611,134,30,65.4,12.24,0,1,133,13.84,42.4,0.2,0,20,3.5,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2010_002,2010,7,9,2010-07-09,8,2,Low,Embankment breach,25.73807,90.58911,4.09,5.1,Chhaygaon|Nagarbera,2,1038,70,24,107.0,30.2,0,1,141,15.57,11.8,0.29,0,18,4.9,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2010_003,2010,7,28,2010-07-28,7,3,Moderate,Heavy rainfall,26.11519,90.61426,4.89,5.1,Bezera|Kamalpur|Boko|Nagarbera,4,6021,578,93,309.9,94.46,1,1,919,52.93,123.1,0.69,0,16,8.1,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2010_004,2010,8,9,2010-08-09,6,4,Low,Upstream release,25.62858,90.67567,4.09,5.1,Bongaon|Bezera,2,1827,167,47,124.9,36.93,0,1,151,19.96,30.4,0.24,0,6,4.3,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2011_005,2011,6,26,2011-06-26,25,1,Moderate,Brahmaputra overflow,26.37397,91.3247,5.05,5.1,Chamaria,1,7976,656,84,321.7,134.76,1,2,532,34.56,84.4,0.98,0,368,2.6,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2011_006,2011,9,25,2011-09-25,9,2,Moderate,Upstream release,25.63756,91.23626,5.35,5.1,Bezera,1,5833,517,170,284.3,121.68,1,3,308,56.81,135.4,0.93,0,157,2.4,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2012_007,2012,6,3,2012-06-03,19,1,Severe,Heavy rainfall,25.98537,91.20694,5.88,5.1,Palashbari|Boko|Bezera|Goroimari|Rani|Nagarbera|Hajo,7,11347,646,129,1446.9,522.85,2,7,2098,94.18,139.4,1.33,0,567,5.8,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2012_008,2012,7,1,2012-07-01,6,2,Severe,Embankment breach,25.96274,90.80063,5.34,5.1,Bongaon,1,5471,363,48,480.9,208.03,3,3,917,136.9,123.3,1.34,0,216,10.3,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2013_009,2013,5,22,2013-05-22,24,1,Catastrophic,Heavy rainfall,25.67243,91.03266,6.36,5.1,Rangia|Chamaria,2,42522,2072,351,2866.2,709.23,1,14,7279,356.79,208.7,2.96,0,60,48.4,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2013_010,2013,7,6,2013-07-06,17,2,Moderate,Flash flood,26.33387,91.25662,4.77,5.1,Chamaria|Rangia,2,2012,143,48,224.1,100.57,1,1,157,24.8,37.0,0.89,0,7,7.5,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2013_011,2013,5,2,2013-05-02,22,3,Moderate,Brahmaputra overflow,26.10769,90.76168,5.34,5.1,Rangia|Palashbari,2,3114,272,65,186.1,62.59,0,0,351,41.27,92.7,0.97,0,52,6.7,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2013_012,2013,7,8,2013-07-08,12,4,Moderate,Upstream release,25.58998,91.03387,4.59,5.1,Goroimari|Kamalpur|Chhaygaon,3,5726,486,161,154.2,64.43,0,2,531,34.72,95.2,0.72,0,270,0.1,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2014_013,2014,7,22,2014-07-22,7,1,Catastrophic,Flash flood,25.68957,90.85859,6.46,5.1,Hajo|Chhaygaon|Bezera,3,18329,1146,186,2904.5,1235.0,0,2,2660,348.8,176.5,2.83,0,268,8.1,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2014_014,2014,8,18,2014-08-18,17,2,Moderate,Upstream release,25.53243,90.88229,4.46,5.1,Chhaygaon,1,6146,319,42,575.3,151.44,0,2,500,26.23,42.3,0.91,0,208,9.7,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2014_015,2014,6,8,2014-06-08,9,3,Catastrophic,Heavy rainfall,26.22201,91.32766,6.19,5.1,Chamaria|Rangia|Boko,3,24956,2856,847,2888.7,604.28,0,15,2080,344.98,426.2,2.82,1,466,11.1,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2014_016,2014,7,13,2014-07-13,14,4,Moderate,Brahmaputra overflow,26.2593,90.84803,4.43,5.1,Hajo,1,5056,477,163,308.0,70.29,1,0,335,34.56,117.4,0.73,0,155,9.8,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2015_017,2015,8,19,2015-08-19,10,1,Moderate,Brahmaputra overflow,25.79718,90.83252,5.09,5.1,Rangia|Palashbari|Bezera|Bongaon,4,2419,225,39,313.9,82.71,1,2,266,28.3,45.3,0.77,0,120,3.8,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2015_018,2015,6,20,2015-06-20,22,2,Moderate,Embankment breach,26.08924,90.96849,5.04,5.1,Hajo,1,4579,395,89,279.1,110.05,0,0,423,44.87,104.3,0.64,0,192,2.3,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2016_019,2016,7,26,2016-07-26,10,1,Low,Upstream release,25.90987,91.34752,3.71,5.1,Bongaon,1,1416,143,39,197.6,61.94,0,0,210,5.08,40.0,0.51,0,13,3.9,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2016_020,2016,7,6,2016-07-06,20,2,Moderate,Embankment breach,26.00303,90.83557,4.97,5.1,Chhaygaon|Goroimari,2,4787,394,110,210.0,66.42,1,1,773,36.36,61.1,0.7,0,163,2.8,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2016_021,2016,9,16,2016-09-16,24,3,Low,Embankment breach,25.57252,90.68575,4.26,5.1,Chhaygaon|Hajo,2,1003,111,30,85.2,16.81,0,1,131,11.24,18.3,0.37,0,49,2.9,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2017_022,2017,5,28,2017-05-28,22,1,Moderate,Upstream release,26.25216,91.0344,5.18,5.1,Kamalpur,1,4339,483,156,284.4,88.68,1,3,533,32.5,110.3,0.92,0,185,1.7,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2017_023,2017,8,5,2017-08-05,23,2,Moderate,Heavy rainfall,25.54526,90.89119,4.8,5.1,Rani|Nagarbera|Rangia|Chhaygaon,4,2814,216,39,439.2,183.37,1,3,247,18.69,32.3,0.82,0,89,2.2,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2017_024,2017,6,25,2017-06-25,24,3,Low,Upstream release,25.6136,91.15251,4.54,5.1,Bongaon,1,530,27,5,79.9,19.91,0,0,74,19.46,38.7,0.51,0,5,4.8,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2017_025,2017,6,19,2017-06-19,4,4,Catastrophic,Brahmaputra overflow,25.60895,91.43546,6.28,5.1,Bezera|Chamaria|Nagarbera|Bongaon|Chhaygaon|Hajo|Kamalpur|Goroimari|Rangia|Boko,10,44385,3907,809,2985.7,836.16,5,0,7875,346.7,213.3,3.08,0,1883,35.4,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2018_026,2018,6,24,2018-06-24,20,1,Catastrophic,Flash flood,25.72095,91.39116,6.87,5.1,Rani|Palashbari|Goroimari|Nagarbera|Chamaria,5,34717,2283,367,3129.5,955.97,6,10,1885,355.29,259.1,2.78,1,697,14.0,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2018_027,2018,7,18,2018-07-18,4,2,Moderate,Embankment breach,26.12155,91.13131,4.79,5.1,Chhaygaon|Bongaon,2,4931,496,51,474.0,122.98,1,1,473,41.17,86.8,0.81,0,108,10.0,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2018_028,2018,9,11,2018-09-11,15,3,Severe,Heavy rainfall,25.98228,91.23597,5.31,5.1,Hajo|Nagarbera|Bongaon,3,7888,390,111,544.8,138.74,2,1,1379,75.55,171.0,1.42,0,64,6.9,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2019_029,2019,9,10,2019-09-10,8,1,Moderate,Embankment breach,25.54624,91.39696,4.43,5.1,Chhaygaon|Rangia|Rani|Hajo,4,4642,254,29,361.2,112.97,0,1,335,40.33,66.5,1.0,0,30,5.6,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2019_030,2019,8,20,2019-08-20,23,2,Severe,Upstream release,26.39103,90.82484,5.17,5.1,Palashbari|Chamaria,2,11640,1266,430,940.6,194.51,1,3,1044,49.74,137.2,1.52,0,418,11.3,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2020_031,2020,8,10,2020-08-10,5,1,Low,Heavy rainfall,26.21212,91.08081,3.97,5.1,Nagarbera|Goroimari,2,850,51,12,60.7,21.54,0,0,51,7.49,22.3,0.5,0,36,4.6,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2020_032,2020,8,4,2020-08-04,18,2,Severe,Brahmaputra overflow,25.79009,90.77533,5.35,5.1,Chamaria|Hajo|Palashbari|Rani|Goroimari|Bongaon,6,5597,417,111,496.5,204.73,0,4,763,131.57,119.1,1.51,0,142,4.5,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2020_033,2020,8,21,2020-08-21,19,3,Catastrophic,Brahmaputra overflow,25.86041,91.23445,6.4,5.1,Kamalpur|Chamaria|Nagarbera|Rani|Chhaygaon|Bezera|Goroimari|Boko,8,31080,2890,516,2011.4,537.61,6,0,4620,262.78,397.9,2.78,0,1549,24.9,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2020_034,2020,8,25,2020-08-25,5,4,Low,Heavy rainfall,26.37583,91.09798,4.28,5.1,Hajo,1,1547,76,13,115.7,21.25,0,0,129,17.62,14.5,0.58,0,19,2.5,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2021_035,2021,7,17,2021-07-17,12,1,Moderate,Brahmaputra overflow,26.17166,90.67286,4.6,5.1,Goroimari|Bongaon|Nagarbera|Palashbari,4,3143,276,82,215.1,62.82,1,0,290,28.44,100.4,1.0,0,125,8.7,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2021_036,2021,8,18,2021-08-18,19,2,Moderate,Embankment breach,25.53928,91.22023,4.72,5.1,Goroimari|Kamalpur|Bongaon|Rani,4,3401,347,92,407.3,163.57,0,3,662,20.68,145.8,0.73,0,25,8.7,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2021_037,2021,8,4,2021-08-04,20,3,Catastrophic,Flash flood,25.56735,91.25337,6.27,5.1,Nagarbera,1,45159,5310,1450,1289.2,458.25,5,12,8721,288.04,682.5,2.9,0,280,11.7,ASDMA Daily Flood Report (synthetic),synthetic
KR_FL_2021_038,2021,7,8,2021-07-08,6,4,Moderate,Flash flood,25.76952,90.57605,5.18,5.1,Bezera,1,2603,138,23,466.8,131.27,0,1,337,40.47,125.1,0.67,0,20,6.1,ASDMA Daily Flood Report (synthetic),synthetic
