year,month,month_name,station,lat,lon,rainfall_mm,rainy_days,max_24h_rainfall_mm,temperature_max_c,temperature_min_c,humidity_pct,source
2010,1,Jan,Guwahati IMD,26.1158,91.7086,19.6,2,20.5,21.9,9.5,72.9,IMD Guwahati Station — synthetic time series
2010,2,Feb,Guwahati IMD,26.1158,91.7086,18.7,0,9.8,22.4,12.4,69.7,IMD Guwahati Station — synthetic time series
2010,3,Mar,Guwahati IMD,26.1158,91.7086,42.0,3,15.2,26.6,15.2,63.1,IMD Guwahati Station — synthetic time series
2010,4,Apr,Guwahati IMD,26.1158,91.7086,95.6,5,34.3,31.9,19.8,64.4,IMD Guwahati Station — synthetic time series
2010,5,May,Guwahati IMD,26.1158,91.7086,222.7,19,57.8,32.0,21.1,81.9,IMD Guwahati Station — synthetic time series
2010,6,Jun,Guwahati IMD,26.1158,91.7086,229.4,19,49.8,32.4,23.4,84.7,IMD Guwahati Station — synthetic time series
2010,7,Jul,Guwahati IMD,26.1158,91.7086,503.5,39,92.5,32.8,26.1,92.2,IMD Guwahati Station — synthetic time series
2010,8,Aug,Guwahati IMD,26.1158,91.7086,307.5,24,66.5,28.6,23.7,86.3,IMD Guwahati Station — synthetic time series
2010,9,Sep,Guwahati IMD,26.1158,91.7086,206.5,17,54.6,30.7,25.2,85.5,IMD Guwahati Station — synthetic time series
2010,10,Oct,Guwahati IMD,26.1158,91.7086,96.3,8,29.3,28.8,20.1,86.2,IMD Guwahati Station — synthetic time series
2010,11,Nov,Guwahati IMD,26.1158,91.7086,27.1,1,21.8,28.1,14.1,78.1,IMD Guwahati Station — synthetic time series
2010,12,Dec,Guwahati IMD,26.1158,91.7086,11.5,0,18.2,22.8,11.8,61.0,IMD Guwahati Station — synthetic time series
2011,1,Jan,Guwahati IMD,26.1158,91.7086,20.6,3,4.2,20.1,12.0,68.8,IMD Guwahati Station — synthetic time series
2011,2,Feb,Guwahati IMD,26.1158,91.7086,19.7,1,22.0,24.9,11.5,70.0,IMD Guwahati Station — synthetic time series
2011,3,Mar,Guwahati IMD,26.1158,91.7086,67.5,3,15.0,29.7,15.8,64.3,IMD Guwahati Station — synthetic time series
2011,4,Apr,Guwahati IMD,26.1158,91.7086,129.4,11,32.4,31.0,21.6,72.9,IMD Guwahati Station — synthetic time series
2011,5,May,Guwahati IMD,26.1158,91.7086,168.3,16,32.0,36.2,23.7,78.8,IMD Guwahati Station — synthetic time series
2011,6,Jun,Guwahati IMD,26.1158,91.7086,246.1,20,53.2,29.5,22.5,90.5,IMD Guwahati Station — synthetic time series
2011,7,Jul,Guwahati IMD,26.1158,91.7086,323.2,28,60.5,30.5,24.1,91.4,IMD Guwahati Station — synthetic time series
2011,8,Aug,Guwahati IMD,26.1158,91.7086,271.1,22,49.7,28.4,23.7,92.3,IMD Guwahati Station — synthetic time series
2011,9,Sep,Guwahati IMD,26.1158,91.7086,266.5,21,63.3,30.1,24.1,83.7,IMD Guwahati Station — synthetic time series
2011,10,Oct,Guwahati IMD,26.1158,91.7086,109.2,10,23.2,30.2,19.6,86.3,IMD Guwahati Station — synthetic time series
2011,11,Nov,Guwahati IMD,26.1158,91.7086,13.2,1,3.8,26.0,15.2,73.1,IMD Guwahati Station — synthetic time series
2011,12,Dec,Guwahati IMD,26.1158,91.7086,15.6,1,14.3,22.4,8.3,67.2,IMD Guwahati Station — synthetic time series
2012,1,Jan,Guwahati IMD,26.1158,91.7086,16.1,0,22.2,22.4,11.4,80.6,IMD Guwahati Station — synthetic time series
2012,2,Feb,Guwahati IMD,26.1158,91.7086,12.6,1,4.0,24.6,12.5,65.5,IMD Guwahati Station — synthetic time series
2012,3,Mar,Guwahati IMD,26.1158,91.7086,40.8,4,24.8,27.0,16.0,62.2,IMD Guwahati Station — synthetic time series
2012,4,Apr,Guwahati IMD,26.1158,91.7086,132.4,9,34.4,31.4,21.7,76.5,IMD Guwahati Station — synthetic time series
2012,5,May,Guwahati IMD,26.1158,91.7086,144.0,11,30.6,36.0,23.5,80.1,IMD Guwahati Station — synthetic time series
2012,6,Jun,Guwahati IMD,26.1158,91.7086,225.1,16,44.1,29.5,24.2,83.4,IMD Guwahati Station — synthetic time series
2012,7,Jul,Guwahati IMD,26.1158,91.7086,384.5,33,82.8,27.5,26.3,86.1,IMD Guwahati Station — synthetic time series
2012,8,Aug,Guwahati IMD,26.1158,91.7086,378.2,31,71.1,29.9,26.2,90.8,IMD Guwahati Station — synthetic time series
2012,9,Sep,Guwahati IMD,26.1158,91.7086,205.6,15,44.1,31.1,25.2,89.0,IMD Guwahati Station — synthetic time series
2012,10,Oct,Guwahati IMD,26.1158,91.7086,111.0,9,21.5,29.3,22.6,76.1,IMD Guwahati Station — synthetic time series
2012,11,Nov,Guwahati IMD,26.1158,91.7086,19.4,2,15.1,24.8,16.9,72.1,IMD Guwahati Station — synthetic time series
2012,12,Dec,Guwahati IMD,26.1158,91.7086,15.3,3,15.8,22.8,9.4,74.1,IMD Guwahati Station — synthetic time series
2013,1,Jan,Guwahati IMD,26.1158,91.7086,18.9,0,19.6,22.4,11.8,62.3,IMD Guwahati Station — synthetic time series
2013,2,Feb,Guwahati IMD,26.1158,91.7086,26.2,0,9.7,25.1,10.8,69.6,IMD Guwahati Station — synthetic time series
2013,3,Mar,Guwahati IMD,26.1158,91.7086,47.0,3,26.8,27.9,14.4,69.5,IMD Guwahati Station — synthetic time series
2013,4,Apr,Guwahati IMD,26.1158,91.7086,125.4,10,23.9,31.6,22.5,73.4,IMD Guwahati Station — synthetic time series
2013,5,May,Guwahati IMD,26.1158,91.7086,210.4,19,55.3,35.4,22.2,82.6,IMD Guwahati Station — synthetic time series
2013,6,Jun,Guwahati IMD,26.1158,91.7086,389.7,33,72.7,32.1,23.9,86.4,IMD Guwahati Station — synthetic time series
2013,7,Jul,Guwahati IMD,26.1158,91.7086,252.8,21,61.8,29.2,23.9,83.4,IMD Guwahati Station — synthetic time series
2013,8,Aug,Guwahati IMD,26.1158,91.7086,301.7,27,56.2,27.7,24.3,84.8,IMD Guwahati Station — synthetic time series
2013,9,Sep,Guwahati IMD,26.1158,91.7086,267.0,21,54.9,30.1,24.1,84.4,IMD Guwahati Station — synthetic time series
2013,10,Oct,Guwahati IMD,26.1158,91.7086,103.1,8,35.4,29.0,22.7,86.1,IMD Guwahati Station — synthetic time series
2013,11,Nov,Guwahati IMD,26.1158,91.7086,31.6,0,18.9,23.3,16.2,70.1,IMD Guwahati Station — synthetic time series
2013,12,Dec,Guwahati IMD,26.1158,91.7086,8.8,0,18.2,21.5,10.3,62.8,IMD Guwahati Station — synthetic time series
2014,1,Jan,Guwahati IMD,26.1158,91.7086,20.4,2,11.0,23.4,9.4,61.6,IMD Guwahati Station — synthetic time series
2014,2,Feb,Guwahati IMD,26.1158,91.7086,13.6,2,7.1,22.4,12.2,78.4,IMD Guwahati Station — synthetic time series
2014,3,Mar,Guwahati IMD,26.1158,91.7086,61.4,4,18.4,24.8,19.3,61.2,IMD Guwahati Station — synthetic time series
2014,4,Apr,Guwahati IMD,26.1158,91.7086,104.3,9,28.8,32.3,20.4,71.2,IMD Guwahati Station — synthetic time series
2014,5,May,Guwahati IMD,26.1158,91.7086,254.3,21,46.8,34.9,21.9,78.5,IMD Guwahati Station — synthetic time series
2014,6,Jun,Guwahati IMD,26.1158,91.7086,462.7,40,100.3,30.1,23.6,94.6,IMD Guwahati Station — synthetic time series
